"id","name","code","account_type","reconcile","currency_id","tag_ids"
"py_4_10_02_01","VENTAS DE MERCADERÍAS - ZONA FRANCA","4.10.02.01","income","False","base.PYG",""
"py_4_10_03_01","VENTAS POR RÉGIMEN DE MAQUILA","4.10.03.01","income","False","base.PYG",""
"py_4_10_04_01","VENTAS BAJO OTROS REGÍMENES ESPECIALES","4.10.04.01","income","False","base.PYG",""
"py_4_11_01_01","OTRAS VENTAS EXENTAS DEL IVA","4.11.01.01","income","False","base.PYG",""
"py_4_98_01_01","Nuevas cuentas a incluir","4.98.01.01","income","False","base.PYG",""
"py_4_99_01_01","Nuevas cuentas a incluir","4.99.01.01","income","False","base.PYG",""
"py_5_01_01_01","COSTO DE MERCADERÍAS GRAVADAS POR EL IVA","5.01.01.01","expense_direct_cost","False","base.PYG",""
"py_5_01_01_02","COSTO DE MERCADERÍAS EXENTAS DEL IVA","5.01.01.02","expense_direct_cost","False","base.PYG",""
"py_5_02_01_01","COSTO DE VENTAS DE SOJA Y SUS DERIVADOS","5.02.01.01","expense_direct_cost","False","base.PYG",""
"py_5_02_01_02","COSTO DE VENTAS DE MAÍZ","5.02.01.02","expense_direct_cost","False","base.PYG",""
"py_5_02_01_03","COSTO DE VENTAS DE TRIGO","5.02.01.03","expense_direct_cost","False","base.PYG",""
"py_5_02_01_04","COSTO DE VENTAS DE OTROS PRODUCTOS AGRÍCOLAS","5.02.01.04","expense_direct_cost","False","base.PYG",""
"py_5_03_01_01","COSTO DE VENTAS DE GANADO","5.03.01.01","expense_direct_cost","False","base.PYG",""
"py_5_04_01_01","COSTO DE VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS","5.04.01.01","expense_direct_cost","False","base.PYG",""
"py_5_05_01_01","COSTO DE VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL","5.05.01.01","expense_direct_cost","False","base.PYG",""
"py_5_06_01_01","COSTO DE EXPORTACIONES A EMPRESAS VINCULADAS","5.06.01.01","expense_direct_cost","False","base.PYG",""
"py_5_06_01_02","COSTO DE EXPORTACIONES A TERCEROS NO VINCULADOS","5.06.01.02","expense_direct_cost","False","base.PYG",""
"py_5_06_02_01","COSTO DE OTROS PRODUCTOS AGRÍCOLAS EXPORTADOS","5.06.02.01","expense_direct_cost","False","base.PYG",""
"py_5_07_01_01","COSTO DE PRODUCTOS FARMACEÚTICOS EXPORTADOS","5.07.01.01","expense_direct_cost","False","base.PYG",""
"py_5_07_02_01","COSTO DE MAQUINARIAS Y EQUIPOS EXPORTADOS","5.07.02.01","expense_direct_cost","False","base.PYG",""
"py_5_07_03_01","COSTO DE OTROS PRODUCTOS INDUSTRIALIZADOS EXPORTADOS","5.07.03.01","expense_direct_cost","False","base.PYG",""
"py_5_08_01_01","COSTO DE OTROS PRODUCTOS EXPORTADOS","5.08.01.01","expense_direct_cost","False","base.PYG",""
"py_5_09_01_01","COSTO DE SERVICIOS GRAVADOS","5.09.01.01","expense_direct_cost","False","base.PYG",""
"py_5_10_01_01","COSTO DE VENTAS A EXTRANJEROS","5.10.01.01","expense_direct_cost","False","base.PYG",""
"py_5_10_01_02","COSTO DE VENTAS A DISTRIBUIDORES LOCALES","5.10.01.02","expense_direct_cost","False","base.PYG",""
"py_5_10_01_03","COSTO DE VENTAS A CLIENTES LOCALES","5.10.01.03","expense_direct_cost","False","base.PYG",""
"py_5_10_02_01","COSTO DE VENTAS DE MERCADERÍAS - ZONA FRANCA","5.10.02.01","expense_direct_cost","False","base.PYG",""
"py_5_10_03_01","COSTO DE VENTAS POR RÉGIMEN DE MAQUILA","5.10.03.01","expense_direct_cost","False","base.PYG",""
"py_5_10_04_01","COSTO DE VENTAS BAJO OTROS REGÍMENES ESPECIALES","5.10.04.01","expense_direct_cost","False","base.PYG",""
"py_5_11_01_01","COSTO DE VENTAS EXENTAS DEL IVA","5.11.01.01","expense_direct_cost","False","base.PYG",""
"py_6_01_01_01","INTERESES GANADOS","6.01.01.01","income_other","False","base.PYG",""
"py_6_01_01_02","COMISIONES COBRADAS","6.01.01.02","income_other","False","base.PYG",""
"py_6_01_01_03","DESCUENTOS OBTENIDOS","6.01.01.03","income_other","False","base.PYG",""
"py_6_01_01_04","SUBVENCIONES","6.01.01.04","income_other","False","base.PYG",""
"py_6_01_01_05","RESULTADO POR DIFERENCIA DE CAMBIO","6.01.01.05","income_other","False","base.PYG",""
"py_7_01_01_01","SUELDOS Y JORNALES","7.01.01.01","expense","False","base.PYG",""
"py_7_01_01_02","APORTE PATRONAL","7.01.01.02","expense","False","base.PYG",""
"py_7_01_01_03","OTROS BENEFICIOS AL PERSONAL","7.01.01.03","expense","False","base.PYG",""
"py_7_01_02_01","COMISIONES PAGADAS SOBRE VENTAS","7.01.02.01","expense","False","base.PYG",""
"py_7_01_03_01","VIÁTICOS A VENDEDORES","7.01.03.01","expense","False","base.PYG",""
"py_7_01_04_01","PUBLICIDAD Y PROPAGANDA","7.01.04.01","expense","False","base.PYG",""
"py_7_01_05_01","FLETES PAGADOS","7.01.05.01","expense","False","base.PYG",""
"py_7_01_99_01","OTROS GASTOS DE VENTAS","7.01.99.01","expense","False","base.PYG",""
"py_7_02_01_01","SUELDOS Y JORNALES","7.02.01.01","expense","False","base.PYG",""
"py_7_02_01_02","APORTE PATRONAL","7.02.01.02","expense","False","base.PYG",""
"py_7_02_01_03","OTROS BENEFICIOS AL PERSONAL","7.02.01.03","expense","False","base.PYG",""
"py_7_02_02_01","REMUNERACIÓN PERSONAL SUPERIOR","7.02.02.01","expense","False","base.PYG",""
"py_7_02_03_01","GASTOS DE REPRESENTACIÓN","7.02.03.01","expense","False","base.PYG",""
"py_7_02_04_01","HONORARIOS PROFESIONALES","7.02.04.01","expense","False","base.PYG",""
"py_7_02_05_01","ALQUILERES","7.02.05.01","expense","False","base.PYG",""
"py_7_02_06_01","AGUA, LUZ, TELÉFONO E INTERNET","7.02.06.01","expense","False","base.PYG",""
"py_7_02_07_01","MOVILIDAD","7.02.07.01","expense","False","base.PYG",""
"py_7_02_08_01","COMBUSTIBLES Y LUBRICANTES","7.02.08.01","expense","False","base.PYG",""
"py_7_02_09_01","REPARACIONES Y MANTENIMIENTOS","7.02.09.01","expense","False","base.PYG",""
"py_7_02_10_01","SEGUROS PAGADOS","7.02.10.01","expense","False","base.PYG",""
"py_7_02_11_01","ÚTILES DE OFICINA","7.02.11.01","expense","False","base.PYG",""
"py_7_02_12_01","GASTOS PAGADOS EN EL EXTERIOR","7.02.12.01","expense","False","base.PYG",""
"py_7_02_13_01","JUICIOS Y GASTOS JUDICIALES","7.02.13.01","expense","False","base.PYG",""
"py_7_02_14_01","GASTOS DE COBRANZAS","7.02.14.01","expense","False","base.PYG",""
"py_7_02_15_01","DONACIONES Y CONTRIBUCIONES","7.02.15.01","expense","False","base.PYG",""
"py_7_02_16_01","COMISIONES Y GASTOS BANCARIOS OPERACIONALES","7.02.16.01","expense","False","base.PYG",""
"py_7_02_17_01","IMPUESTOS, PATENTES, TASAS Y OTRAS CONTRIBUCIONES","7.02.17.01","expense","False","base.PYG",""
"py_7_02_18_01","MULTAS Y SANCIONES.","7.02.18.01","expense","False","base.PYG",""
"py_7_02_18_02","Redondeos","7.02.18.02","expense","False","base.PYG",""
